Date,Price,Grid load forecast,Wind power forecast
2018-06-04 00:00:00,66.76,11721.5,519.0
2018-06-04 01:00:00,43.6,11213.0,477.0
2018-06-04 02:00:00,43.18,10914.25,449.5
2018-06-04 03:00:00,46.93,10810.25,402.0
2018-06-04 04:00:00,42.87,10848.25,383.5
2018-06-04 05:00:00,47.44,11049.25,372.25
2018-06-04 06:00:00,56.66,11572.25,320.75
2018-06-04 07:00:00,65.35,12536.75,251.0
2018-06-04 08:00:00,65.0,13328.75,196.25
2018-06-04 09:00:00,68.0,13492.0,176.75
2018-06-04 10:00:00,76.72,13247.75,174.5
2018-06-04 11:00:00,82.27,12923.5,206.75
2018-06-04 12:00:00,80.1,12603.75,263.75
2018-06-04 13:00:00,75.6,12498.75,339.0
2018-06-04 14:00:00,63.53,12558.75,441.0
2018-06-04 15:00:00,53.47,12848.75,602.75
2018-06-04 16:00:00,53.1,13358.25,791.0
2018-06-04 17:00:00,75.0,14002.5,969.25
2018-06-04 18:00:00,70.1,14001.25,1134.75
2018-06-04 19:00:00,67.1,14149.0,1338.5
2018-06-04 20:00:00,62.17,14392.25,1367.0
2018-06-04 21:00:00,52.93,14298.0,1242.0
2018-06-04 22:00:00,50.93,14203.5,1105.0
2018-06-04 23:00:00,44.49,13408.25,1029.5
2018-06-05 00:00:00,43.8,12478.0,1021.75
2018-06-05 01:00:00,42.37,11734.75,1053.25
2018-06-05 02:00:00,39.44,11453.0,1146.0
2018-06-05 03:00:00,40.65,11415.75,1137.25
2018-06-05 04:00:00,43.7,11467.25,1037.25
2018-06-05 05:00:00,43.22,11719.25,924.5
2018-06-05 06:00:00,50.26,12663.25,808.75
2018-06-05 07:00:00,67.11,14188.0,722.25
2018-06-05 08:00:00,66.28,15188.5,574.5
2018-06-05 09:00:00,70.9,15303.5,490.75
2018-06-05 10:00:00,81.22,14911.75,419.5
2018-06-05 11:00:00,78.62,14737.5,371.75
2018-06-05 12:00:00,69.37,14472.75,406.25
2018-06-05 13:00:00,66.47,14454.25,471.5
2018-06-05 14:00:00,58.51,14745.75,565.75
2018-06-05 15:00:00,53.34,15017.25,715.75
2018-06-05 16:00:00,52.99,15349.75,907.75
2018-06-05 17:00:00,54.95,15797.75,1102.25
2018-06-05 18:00:00,65.0,15458.0,1203.0
2018-06-05 19:00:00,67.83,15382.0,1248.5
2018-06-05 20:00:00,64.0,15446.0,1173.5
2018-06-05 21:00:00,52.89,15308.5,1039.5
2018-06-05 22:00:00,66.47,14859.5,965.25
2018-06-05 23:00:00,53.5,14031.75,866.5
2018-06-06 00:00:00,44.99,12561.25,920.75
2018-06-06 01:00:00,41.16,11829.75,869.75
2018-06-06 02:00:00,40.5,11566.5,820.5
2018-06-06 03:00:00,43.26,11462.5,810.0
2018-06-06 04:00:00,44.0,11407.75,782.75
2018-06-06 05:00:00,43.69,11584.25,717.0
2018-06-06 06:00:00,50.37,12527.5,573.0
2018-06-06 07:00:00,60.83,14097.0,425.0
2018-06-06 08:00:00,65.0,15182.0,309.25
2018-06-06 09:00:00,81.2,15509.5,243.5
2018-06-06 10:00:00,79.92,15326.5,216.25
2018-06-06 11:00:00,71.1,15202.0,239.25
2018-06-06 12:00:00,61.29,14987.0,308.75
2018-06-06 13:00:00,62.16,14905.5,369.5
2018-06-06 14:00:00,56.84,14867.0,430.75
2018-06-06 15:00:00,54.36,14917.75,536.75
2018-06-06 16:00:00,58.52,15024.25,695.5
2018-06-06 17:00:00,68.76,15247.25,857.0
2018-06-06 18:00:00,61.25,14874.5,945.5
2018-06-06 19:00:00,63.31,14744.25,1057.25
2018-06-06 20:00:00,60.0,14753.25,1164.5
2018-06-06 21:00:00,57.4,14662.25,1197.5
2018-06-06 22:00:00,61.94,14311.0,1281.0
2018-06-06 23:00:00,54.06,13606.75,1305.0
2018-06-07 00:00:00,44.77,12538.75,1356.0
2018-06-07 01:00:00,42.6,11712.75,1252.0
2018-06-07 02:00:00,39.72,11347.0,1104.75
2018-06-07 03:00:00,42.1,11168.75,997.0
2018-06-07 04:00:00,41.62,11156.0,904.0
2018-06-07 05:00:00,40.52,11308.25,810.25
2018-06-07 06:00:00,50.21,12241.0,648.5
2018-06-07 07:00:00,58.73,13887.25,434.5
2018-06-07 08:00:00,60.95,14894.25,279.5
2018-06-07 09:00:00,69.9,15209.75,211.5
2018-06-07 10:00:00,68.7,14964.25,163.75
2018-06-07 11:00:00,68.0,14963.75,134.75
2018-06-07 12:00:00,64.27,14605.25,142.0
2018-06-07 13:00:00,63.61,14435.5,146.0
2018-06-07 14:00:00,56.39,14411.75,141.5
2018-06-07 15:00:00,57.13,14479.25,179.25
2018-06-07 16:00:00,54.23,14881.5,265.75
2018-06-07 17:00:00,64.27,15354.5,393.0
2018-06-07 18:00:00,73.16,15202.0,595.25
2018-06-07 19:00:00,69.9,15146.0,752.25
2018-06-07 20:00:00,64.9,15164.75,766.5
2018-06-07 21:00:00,65.8,15040.5,769.0
2018-06-07 22:00:00,67.0,14595.75,798.25
2018-06-07 23:00:00,52.99,13801.25,816.0
2018-06-08 00:00:00,50.0,12792.5,969.25
2018-06-08 01:00:00,44.0,11945.5,893.25
2018-06-08 02:00:00,42.53,11559.0,900.75
2018-06-08 03:00:00,47.15,11445.75,861.0
2018-06-08 04:00:00,50.01,11446.75,843.75
2018-06-08 05:00:00,45.37,11584.0,818.75
2018-06-08 06:00:00,52.29,12448.0,750.25
2018-06-08 07:00:00,58.71,14043.0,644.25
2018-06-08 08:00:00,65.7,15131.5,574.25
2018-06-08 09:00:00,75.12,15412.5,558.25
2018-06-08 10:00:00,79.05,15184.75,552.75
2018-06-08 11:00:00,77.34,15020.75,574.25
2018-06-08 12:00:00,75.0,14842.5,611.75
2018-06-08 13:00:00,71.81,14731.25,621.75
2018-06-08 14:00:00,64.07,14750.5,669.25
2018-06-08 15:00:00,53.03,14692.25,746.25
2018-06-08 16:00:00,50.05,14847.0,841.25
2018-06-08 17:00:00,57.4,15244.5,948.0
2018-06-08 18:00:00,62.0,15111.75,1024.0
2018-06-08 19:00:00,58.66,14870.0,1124.5
2018-06-08 20:00:00,56.58,14678.25,1209.0
2018-06-08 21:00:00,50.08,14398.5,1233.75
2018-06-08 22:00:00,50.46,14119.75,1313.0
2018-06-08 23:00:00,48.85,13382.75,1312.25
2018-06-09 00:00:00,47.7,12912.5,889.25
2018-06-09 01:00:00,42.53,12216.0,886.0
